SEX_ASK_TRM,Age_group_5,WGHTS_PROV_TRM,DCS.groups,Education,NHS_Weight
F,45-48,AB,DCS1,Higher Education lower,10765
F,45-48,AB,DCS1,Higher Education upper,11805
F,45-48,AB,DCS1,Low Education,3205
F,45-48,AB,DCS1,Medium Education,10200
F,45-48,AB,Non_DCS,Higher Education lower,23525
F,45-48,AB,Non_DCS,Higher Education upper,14310
F,45-48,AB,Non_DCS,Low Education,9300
F,45-48,AB,Non_DCS,Medium Education,25360
F,45-48,BC,DCS1,Higher Education lower,23210
F,45-48,BC,DCS1,Higher Education upper,23990
F,45-48,BC,DCS1,Low Education,5955
F,45-48,BC,DCS1,Medium Education,22680
F,45-48,BC,DCS2,Higher Education lower,3765
F,45-48,BC,DCS2,Higher Education upper,3530
F,45-48,BC,DCS2,Low Education,870
F,45-48,BC,DCS2,Medium Education,3455
F,45-48,BC,Non_DCS,Higher Education lower,18070
F,45-48,BC,Non_DCS,Higher Education upper,8325
F,45-48,BC,Non_DCS,Low Education,5270
F,45-48,BC,Non_DCS,Medium Education,20100
F,45-48,MB,DCS1,Higher Education lower,6330
F,45-48,MB,DCS1,Higher Education upper,5805
F,45-48,MB,DCS1,Low Education,2325
F,45-48,MB,DCS1,Medium Education,6990
F,45-48,MB,Non_DCS,Higher Education lower,3850
F,45-48,MB,Non_DCS,Higher Education upper,1890
F,45-48,MB,Non_DCS,Low Education,2070
F,45-48,MB,Non_DCS,Medium Education,5145
F,45-48,NB,Non_DCS,Higher Education lower,7400
F,45-48,NB,Non_DCS,Higher Education upper,4630
F,45-48,NB,Non_DCS,Low Education,3170
F,45-48,NB,Non_DCS,Medium Education,9510
F,45-48,NL,DCS1,Higher Education lower,2390
F,45-48,NL,DCS1,Higher Education upper,1385
F,45-48,NL,DCS1,Low Education,500
F,45-48,NL,DCS1,Medium Education,2030
F,45-48,NL,Non_DCS,Higher Education lower,3005
F,45-48,NL,Non_DCS,Higher Education upper,990
F,45-48,NL,Non_DCS,Low Education,2405
F,45-48,NL,Non_DCS,Medium Education,3940
F,45-48,NS,DCS1,Higher Education lower,4035
F,45-48,NS,DCS1,Higher Education upper,3825
F,45-48,NS,DCS1,Low Education,1080
F,45-48,NS,DCS1,Medium Education,3280
F,45-48,NS,Non_DCS,Higher Education lower,6495
F,45-48,NS,Non_DCS,Higher Education upper,2945
F,45-48,NS,Non_DCS,Low Education,2490
F,45-48,NS,Non_DCS,Medium Education,6430
F,45-48,ON,DCS1,Higher Education lower,9215
F,45-48,ON,DCS1,Higher Education upper,6730
F,45-48,ON,DCS1,Low Education,2105
F,45-48,ON,DCS1,Medium Education,7430
F,45-48,ON,DCS2,Higher Education lower,7775
F,45-48,ON,DCS2,Higher Education upper,10560
F,45-48,ON,DCS2,Low Education,1555
F,45-48,ON,DCS2,Medium Education,6715
F,45-48,ON,Non_DCS,Higher Education lower,123290
F,45-48,ON,Non_DCS,Higher Education upper,96155
